show notes,show_notes
what did I say about,show_notes
show,show_notes
remember what I wrote,show_notes
what did I write about,show_notes
what did I say about,show_notes
what did I note about,show_notes
read notes,show_notes
read note about,show_notes
remember what I said about,show_notes
remember what I said,show_notes
what did I say,show_notes
what did I record,show_notes
show recording,show_notes
remember recording,show_notes
could you please summarize,summarize_notes
please summarize,summarize_notes
give me a summary,summarize_notes
summarize,summarize_notes
what are the main points,summarize_notes
sum up the points,summarize_notes
sum up,summarize_notes
what is most important about,summarize_notes
most important,summarize_notes
how do I feel about,sentiment_notes
feel about,sentiment_notes
what are my feelings towards,sentiment_notes
what is my sentiment about,sentiment_notes
what are my emotions about,sentiment_notes
what are my feelings,sentiment_notes
what do I think about,sentiment_notes
what is my attitude towards ,sentiment_notes
what is my attitude about ,sentiment_notes
attitude about,sentiment_notes
my attitude about,sentiment_notes
what is my opinion on,sentiment_notes
opinion about,sentiment_notes
